Time,Alabama (Index),Alaska (Index),Arizona (Index),Arkansas (Index),California (Index),Colorado (Index),Connecticut (Index),Delaware (Index),Florida (Index),Georgia (Index),Hawaii (Index),Idaho (Index),Illinois (Index),Indiana (Index),Iowa (Index),Kansas (Index),Kentucky (Index),Louisiana (Index),Maine (Index),Maryland (Index),Massachusetts (Index),Michigan (Index),Minnesota (Index),Mississippi (Index),Missouri (Index),Montana (Index),Nebraska (Index),Nevada (Index),New Hampshire (Index),New Jersey (Index),New Mexico (Index),New York (Index),North Carolina (Index),North Dakota (Index),Ohio (Index),Oklahoma (Index),Oregon (Index),Pennsylvania (Index),Rhode Island (Index),South Carolina (Index),South Dakota (Index),Tennessee (Index),Texas (Index),Utah (Index),Vermont (Index),Virginia (Index),Washington (Index),Washington DC (Index),West Virginia (Index),Wisconsin (Index),Wyoming (Index)
1975/1,72.92,62.63,60.21,66.83,41.66,54.35,62.15,77.7,65.94,74.1,70.95,70.33,66.28,66.04,58.94,61.93,64,51.67,54.39,61.89,68.05,60.2,55.31,75.12,65.59,57.42,63.79,52.73,91.61,63.78,56.95,78.47,66.06,67.8,64.95,52.09,50.96,70.79,61.51,75.32,75.11,68.04,55.47,55.12,77.38,70.11,46.18,46.19,50.16,61.82,49.3
1975/2,72.2,64.13,60.23,60.76,42.73,54.63,62.6,89.6,83.05,71.94,53.53,65.33,62.28,60.84,63.7,62.43,65.72,55.41,87.82,62.3,66.05,62.48,55.39,71.77,73.25,56.34,62.97,44.22,70.11,59.5,58.76,75.77,67.01,59.25,64.81,52.93,51.7,69.69,66.13,70.41,70.15,68.69,58.43,57.49,77.05,66.64,47.21,47.55,64.7,62.69,48.13
1975/3,74.48,67.18,59.41,65.31,44.29,54.71,61.77,116.1,66.72,74.38,55.93,55.95,64.11,62.02,64.27,63.53,67.06,52.84,68.47,65.11,67.59,63.22,58.09,72.53,65.55,59.72,60.94,54.1,61.94,60.23,59.75,77.47,68.37,66.05,64.4,52.48,54.23,74.17,65.17,72.25,65.15,67.76,56.09,55.35,67.14,67.41,49.6,46.95,66.54,64.29,50.29
1975/4,70.43,68.59,56.58,62.71,45.79,54.82,62.07,75.21,68.12,73.95,55.74,62.43,66.75,63.36,65.9,64.73,68.47,55.65,71.11,66.8,70.5,62.27,60.06,72.86,65.12,58.64,67.99,53.1,49.2,63,55.56,79.87,70.5,63.15,65.95,53.32,53.38,71.8,67.44,70.11,63.84,70.85,59.39,60.05,72.71,67.92,47.99,54.39,66.85,69.03,53.68
1976/1,76.95,71.05,59.08,66.58,47.81,54.82,64.68,80.27,67.83,71.26,53.95,56.13,67.68,62.25,67.79,66.72,69.72,59.11,55.49,66.96,67.78,62.61,62.29,73.64,67.01,60.14,67.29,44.09,63.62,62.17,59.77,73.25,69.09,74.82,66.57,54.62,57.23,72.73,66.23,70.89,62.94,69.94,58.69,61.66,116.98,69.36,50.35,52.63,62.01,65.73,54.62
1976/2,76.36,73.22,62.82,68.95,50.24,59.8,64.01,85,75.96,73,57.16,87.29,70.25,65.81,70.29,67.4,68.64,58.86,69.9,69.7,69.03,64.13,62.32,74.58,77.3,66.13,67.63,56.7,60.84,63.75,61.52,74.97,69.73,73.01,68.69,60.8,56.85,76.73,69.07,77.43,65.69,68.58,63.47,61.28,57.58,68.55,53.57,52.46,67.09,65.58,55.49
1976/3,77.03,74.58,60.96,71.73,53.55,59.52,67.14,80.68,69.28,78.97,54.94,68.95,73.41,65.66,74.2,68.8,69.11,58.26,84.07,70.53,69.01,64.28,63.01,71.86,69.45,65.38,67.85,60.72,65.46,66.01,63.8,75.63,70.48,71.57,71.05,59.28,59.97,77.57,70.85,76.84,68.59,71.47,63.25,64.66,81.18,70.65,56.55,58.25,68.58,67.64,58.66
1976/4,79.55,74.33,61.34,72.29,55.55,61.96,67.95,87.27,70.59,78.72,56.66,69.93,72.99,68.58,71.32,70.69,69.36,61.78,68.5,71.54,70.59,65.65,64.43,80.7,69.14,65.7,70.54,61.59,71.74,62.03,65.27,74.02,70.47,72.65,72.42,62.09,63.55,75.21,69.89,75.84,67.23,71.94,63.23,64.09,79.55,72.03,57.73,57.21,62.08,68.3,62.89
1977/1,81.18,80.32,63.61,73.5,58.02,64.88,63.98,89.28,71.14,76.71,56.58,73.35,80.15,71.03,75.98,72.89,69.92,62.77,74.41,72.1,72.71,67.28,66.61,74.45,71.33,66.63,72.26,61.01,72.97,65,70.27,77.8,75.13,82.2,73.23,63.8,67.17,74.59,69.66,75.94,62.92,75.16,65.96,69.25,114.52,73.14,59.73,59.15,67.04,72.71,63.38
1977/2,83.53,78.7,64.16,75.15,62.99,65.58,68.44,78.12,79.06,76.25,58.62,73.99,83.77,71.06,78.34,76.04,73.49,65.2,80.55,73.48,70.15,68.04,68.77,77.57,81.07,72.32,74.02,63.1,69.01,65.91,70.16,82.94,73.92,85.93,75.29,63.74,69.14,80.4,72.78,79.18,70.38,77.55,71.53,70.71,82.46,75.07,62.9,63.55,84.96,76,64.83
